UI_SECTION,UI_TAB,UI_PANEL,UI_FIELD_NAME,UI_SHORT_LABEL,FIELD_DESCRIPTION,JAVA_CLASS,JAVA_PROPERTY,DB_TABLE,DB_COLUMN,DATA_TYPE,LOOKUP_TABLE,LOOKUP_COLUMN,LOOKUP_DESCRIPTION_COLUMN,FIELD_ORIGIN,CUSTOM_ATTRIBUTE_ID,REQUIRED,READ_ONLY,CONFIDENCE,SOURCE_FILE,NOTES
Negotiation Negotiation,Negotiation,negotiation,,,,Negotiation,unAssociatedDetail.subAwardOrganizationId,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiation.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Negotiation Negotiation,Negotiation,negotiation,,,,Negotiation,unAssociatedDetail.title,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiation.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Negotiation Negotiation,Activities,negotiation Activities,,,,NegotiationActivity,activitySortingTypeName,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiationActivities.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Negotiation Negotiation,All Attachments,negotiation Activities,Activity Start Date,,Activity Start Date,org.kuali.kra.negotiations.bo.NegotiationActivity,startDate,NEGOTIATION_ACTIVITY,START_DATE,DATE,,,,CORE_KUALI,,,Y,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiationActivities.tag,
Negotiation Negotiation,All Attachments,negotiation Activities,Activity Type,,Activity Type,org.kuali.kra.negotiations.bo.NegotiationActivity,activityTypeId,NEGOTIATION_ACTIVITY,ACTIVITY_TYPE_ID,NUMBER,NEGOTIATION_ACTIVITY_TYPE,NEGOTIATION_ACTIVITY_TYPE_ID,DESCRIPTION,CORE_KUALI,,,Y,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiationActivities.tag,
Negotiation Negotiation,All Attachments,negotiation Activities,Attachment Description,,Attachment Description,org.kuali.kra.negotiations.bo.NegotiationActivityAttachment,description,NEGOTIATION_ATTACHMENT,DESCRIPTION,VARCHAR2,,,,CORE_KUALI,,,Y,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiationActivities.tag,
Negotiation Negotiation,All Attachments,negotiation Activities,Location,,Location,org.kuali.kra.negotiations.bo.NegotiationActivity,locationId,NEGOTIATION_ACTIVITY,LOCATION_ID,NUMBER,NEGOTIATION_LOCATION,NEGOTIATION_LOCATION_ID,DESCRIPTION,CORE_KUALI,,,Y,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiationActivities.tag,
Negotiation Negotiation,All Attachments,negotiation Activities,,,,NegotiationActivity,attachmentSortingTypeName,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiationActivities.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Negotiation Negotiation,,negotiation Activity,Activity Start Date,,Activity Start Date,org.kuali.kra.negotiations.bo.NegotiationActivity,startDate,NEGOTIATION_ACTIVITY,START_DATE,DATE,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiationActivity.tag,
Negotiation Negotiation,,negotiation Activity,Last Update,,Last Update,org.kuali.kra.negotiations.bo.NegotiationActivity,lastModifiedDate,NEGOTIATION_ACTIVITY,LAST_MODIFIED_DATE,DATE,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiationActivity.tag,
Negotiation Negotiation,${tabTitle},negotiation Activity,Activity Description,,Activity Description,org.kuali.kra.negotiations.bo.NegotiationActivity,description,NEGOTIATION_ACTIVITY,DESCRIPTION,VARCHAR2,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiationActivity.tag,
Negotiation Negotiation,${tabTitle},negotiation Activity,Activity End Date,,Activity End Date,org.kuali.kra.negotiations.bo.NegotiationActivity,endDate,NEGOTIATION_ACTIVITY,END_DATE,DATE,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiationActivity.tag,
Negotiation Negotiation,${tabTitle},negotiation Activity,Activity Start Date,,Activity Start Date,org.kuali.kra.negotiations.bo.NegotiationActivity,startDate,NEGOTIATION_ACTIVITY,START_DATE,DATE,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiationActivity.tag,
Negotiation Negotiation,${tabTitle},negotiation Activity,Activity Type,,Activity Type,org.kuali.kra.negotiations.bo.NegotiationActivity,activityTypeId,NEGOTIATION_ACTIVITY,ACTIVITY_TYPE_ID,NUMBER,NEGOTIATION_ACTIVITY_TYPE,NEGOTIATION_ACTIVITY_TYPE_ID,DESCRIPTION,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiationActivity.tag,
Negotiation Negotiation,${tabTitle},negotiation Activity,Attachment Description,,Attachment Description,org.kuali.kra.negotiations.bo.NegotiationActivityAttachment,description,NEGOTIATION_ATTACHMENT,DESCRIPTION,VARCHAR2,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiationActivity.tag,
Negotiation Negotiation,${tabTitle},negotiation Activity,Create Date,,Create Date,org.kuali.kra.negotiations.bo.NegotiationActivity,createDate,NEGOTIATION_ACTIVITY,CREATE_DATE,DATE,,,,CORE_KUALI,,,Y,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiationActivity.tag,
Negotiation Negotiation,${tabTitle},negotiation Activity,Follow-up Date,,Follow-up Date,org.kuali.kra.negotiations.bo.NegotiationActivity,followupDate,NEGOTIATION_ACTIVITY,FOLLOWUP_DATE,DATE,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiationActivity.tag,
