DOMAIN,TABLE_NAME,EXTRACT_TYPE,FILE,STATUS,ROWS_WRITTEN
Proposal / pre-award,EPS_PROP_COLUMNS_TO_ALTER,FULL,reference/package/proposal/eps_prop_columns_to_alter.csv,OK,9
Proposal / pre-award,EPS_PROP_IDC_RATE,FULL,reference/package/proposal/eps_prop_idc_rate.csv,OK,56
Proposal / pre-award,EPS_PROP_PERSON_ROLE,FULL,reference/package/proposal/eps_prop_person_role.csv,OK,8
Proposal / pre-award,EPS_PROP_PER_DOC_TYPE,FULL,reference/package/proposal/eps_prop_per_doc_type.csv,OK,6
Proposal / pre-award,EPS_PROP_RATES,SAMPLE,reference/package/proposal/eps_prop_rates.csv,OK,"1,000"
Proposal / pre-award,EPS_PROP_SITES,FULL,reference/package/proposal/eps_prop_sites.csv,OK,2
Proposal / pre-award,NARRATIVE_STATUS,FULL,reference/package/proposal/narrative_status.csv,OK,2
Proposal / pre-award,NARRATIVE_TYPE,FULL,reference/package/proposal/narrative_type.csv,OK,162
Proposal / pre-award,S2S_ERROR,FULL,reference/package/proposal/s2s_error.csv,OK,457
Proposal / pre-award,S2S_FORM_CONFIG,FULL,reference/package/proposal/s2s_form_config.csv,OK,3
Proposal / pre-award,S2S_FORM_TO_QUESTIONNAIRE,FULL,reference/package/proposal/s2s_form_to_questionnaire.csv,OK,16
Proposal / pre-award,S2S_PROVIDERS,FULL,reference/package/proposal/s2s_providers.csv,OK,1
Proposal / pre-award,S2S_REVISION_TYPE,FULL,reference/package/proposal/s2s_revision_type.csv,OK,9
Proposal / pre-award,S2S_SUBMISSION_TYPE,FULL,reference/package/proposal/s2s_submission_type.csv,OK,3
Reference / lookup,ABSTRACT_TYPE,FULL,reference/package/reference/abstract_type.csv,OK,17
Reference / lookup,ACCOUNT_TYPE,FULL,reference/package/reference/account_type.csv,OK,2
Reference / lookup,ACTIVITY_TYPE,FULL,reference/package/reference/activity_type.csv,OK,5
Reference / lookup,AFFILIATION_TYPE,FULL,reference/package/reference/affiliation_type.csv,OK,19
Reference / lookup,APPOINTMENT_TYPE,FULL,reference/package/reference/appointment_type.csv,OK,3
Reference / lookup,ARG_VALUE_LOOKUP,FULL,reference/package/reference/arg_value_lookup.csv,OK,"1,041"
Reference / lookup,ATTACHMENTS_TYPE,FULL,reference/package/reference/attachments_type.csv,OK,2
Reference / lookup,ATTACHMENT_FILE,SAMPLE,reference/package/reference/attachment_file.csv,OK,"1,000"
Reference / lookup,CARRIER_TYPE,FULL,reference/package/reference/carrier_type.csv,OK,3
Reference / lookup,CITIZENSHIP_TYPE_T,FULL,reference/package/reference/citizenship_type_t.csv,OK,7
Reference / lookup,CLOSEOUT_REPORT_TYPE,FULL,reference/package/reference/closeout_report_type.csv,OK,6
Reference / lookup,CLOSEOUT_TYPE,FULL,reference/package/reference/closeout_type.csv,OK,13
Reference / lookup,COEUS_MODULE,FULL,reference/package/reference/coeus_module.csv,OK,10
Reference / lookup,COEUS_SUB_MODULE,FULL,reference/package/reference/coeus_sub_module.csv,OK,27
Reference / lookup,COMMENT_TYPE,FULL,reference/package/reference/comment_type.csv,OK,23
Reference / lookup,CONTACT_TYPE,FULL,reference/package/reference/contact_type.csv,OK,3
Reference / lookup,CONTACT_USAGE,FULL,reference/package/reference/contact_usage.csv,OK,3
Reference / lookup,CORRESPONDENT_TYPE,FULL,reference/package/reference/correspondent_type.csv,OK,2
Reference / lookup,COST_ELEMENT,FULL,reference/package/reference/cost_element.csv,OK,54
Reference / lookup,COST_SHARE_TYPE,FULL,reference/package/reference/cost_share_type.csv,OK,3
Reference / lookup,DEADLINE_TYPE,FULL,reference/package/reference/deadline_type.csv,OK,3
Reference / lookup,DEGREE_TYPE,FULL,reference/package/reference/degree_type.csv,OK,50
Reference / lookup,DISTRIBUTION,FULL,reference/package/reference/distribution.csv,OK,2
Reference / lookup,DOCUMENT_NEXTVALUE,SAMPLE,reference/package/reference/document_nextvalue.csv,OK,"1,000"
Reference / lookup,FILE_DATA,SAMPLE,reference/package/reference/file_data.csv,OK,"1,000"
Reference / lookup,FORMULATED_TYPE,FULL,reference/package/reference/formulated_type.csv,OK,4
Reference / lookup,FREQUENCY,FULL,reference/package/reference/frequency.csv,OK,28
Reference / lookup,FREQUENCY_BASE,FULL,reference/package/reference/frequency_base.csv,OK,8
Reference / lookup,FUNDING_SOURCE_TYPE,FULL,reference/package/reference/funding_source_type.csv,OK,7
Reference / lookup,GROUP_TYPES,FULL,reference/package/reference/group_types.csv,OK,7
Reference / lookup,IDC_RATE_TYPE,FULL,reference/package/reference/idc_rate_type.csv,OK,6
Reference / lookup,INSTITUTE_RATES,FULL,reference/package/reference/institute_rates.csv,OK,261
Reference / lookup,INV_CREDIT_TYPE,FULL,reference/package/reference/inv_credit_type.csv,OK,1
Reference / lookup,JOB_CODE,FULL,reference/package/reference/job_code.csv,OK,1
Reference / lookup,LOCATION_TYPE,FULL,reference/package/reference/location_type.csv,OK,4
Reference / lookup,MAIL_BY,FULL,reference/package/reference/mail_by.csv,OK,2
Reference / lookup,MAIL_TYPE,FULL,reference/package/reference/mail_type.csv,OK,4
Reference / lookup,NIH_VALIDATION_MAPPING,FULL,reference/package/reference/nih_validation_mapping.csv,OK,412
Reference / lookup,NOTICE_OF_OPPORTUNITY,FULL,reference/package/reference/notice_of_opportunity.csv,OK,6
Reference / lookup,NSF_CODES,FULL,reference/package/reference/nsf_codes.csv,OK,117
Reference / lookup,PERSON_APPOINTMENT,SAMPLE,reference/package/reference/person_appointment.csv,OK,100
Reference / lookup,PERSON_EDITABLE_FIELDS,FULL,reference/package/reference/person_editable_fields.csv,OK,84
Reference / lookup,PERSON_EXT_T,SAMPLE,reference/package/reference/person_ext_t.csv,OK,100
Reference / lookup,PERSON_MASS_CHANGE,FULL,reference/package/reference/person_mass_change.csv,OK,25
Reference / lookup,PERSON_MASS_CHANGE_DOCUMENT,FULL,reference/package/reference/person_mass_change_document.csv,OK,25
Reference / lookup,RATE_CLASS,FULL,reference/package/reference/rate_class.csv,OK,8
Reference / lookup,RATE_CLASS_BASE_EXCLUSION,FULL,reference/package/reference/rate_class_base_exclusion.csv,OK,10
Reference / lookup,RATE_CLASS_BASE_INCLUSION,FULL,reference/package/reference/rate_class_base_inclusion.csv,OK,21
Reference / lookup,RATE_CLASS_TYPE,FULL,reference/package/reference/rate_class_type.csv,OK,3
Reference / lookup,RATE_TYPE,FULL,reference/package/reference/rate_type.csv,OK,11
Reference / lookup,REPORT,FULL,reference/package/reference/report.csv,OK,54
Reference / lookup,REPORT_CLASS,FULL,reference/package/reference/report_class.csv,OK,11
Reference / lookup,REPORT_STATUS,FULL,reference/package/reference/report_status.csv,OK,4
Reference / lookup,RESEARCH_AREAS,FULL,reference/package/reference/research_areas.csv,OK,"1,855"
Reference / lookup,ROLODEX,FULL,reference/package/reference/rolodex.csv,OK,"12,942"
Reference / lookup,SCHOOL_CODE,FULL,reference/package/reference/school_code.csv,OK,4
Reference / lookup,SPECIAL_REVIEW,FULL,reference/package/reference/special_review.csv,OK,8
Reference / lookup,SPECIAL_REVIEW_USAGE,FULL,reference/package/reference/special_review_usage.csv,OK,37
Reference / lookup,SP_REV_APPROVAL_TYPE,FULL,reference/package/reference/sp_rev_approval_type.csv,OK,3
Reference / lookup,TBN,FULL,reference/package/reference/tbn.csv,OK,6
Reference / lookup,VALID_AWARD_BASIS_PAYMENT,FULL,reference/package/reference/valid_award_basis_payment.csv,OK,45
Reference / lookup,VALID_BASIS_METHOD_PMT,FULL,reference/package/reference/valid_basis_method_pmt.csv,OK,42
Reference / lookup,VALID_CALC_TYPES,FULL,reference/package/reference/valid_calc_types.csv,OK,7
Reference / lookup,VALID_CE_RATE_TYPES,FULL,reference/package/reference/valid_ce_rate_types.csv,OK,153
Reference / lookup,VALID_CLASS_REPORT_FREQ,FULL,reference/package/reference/valid_class_report_freq.csv,OK,324
Reference / lookup,VALID_FREQUENCY_BASE,FULL,reference/package/reference/valid_frequency_base.csv,OK,74
Reference / lookup,VALID_NARR_FORMS,FULL,reference/package/reference/valid_narr_forms.csv,OK,580
Reference / lookup,VALID_SP_REV_APPROVAL,FULL,reference/package/reference/valid_sp_rev_approval.csv,OK,27
Reference / lookup,VERSION_HISTORY,SAMPLE,reference/package/reference/version_history.csv,OK,"1,000"
Sponsor,SPONSOR,FULL,reference/package/reference/sponsor.csv,OK,"7,552"
Sponsor,SPONSOR_HIERARCHY,FULL,reference/package/reference/sponsor_hierarchy.csv,OK,39
Sponsor,SPONSOR_HIERARCHY_MT,FULL,reference/package/reference/sponsor_hierarchy_mt.csv,OK,29
Sponsor,SPONSOR_IMPORT,FULL,reference/package/reference/sponsor_import.csv,OK,160
Sponsor,SPONSOR_SAM_MAPPING,FULL,reference/package/reference/sponsor_sam_mapping.csv,OK,645
Sponsor,SPONSOR_TERM,FULL,reference/package/reference/sponsor_term.csv,OK,293
Sponsor,SPONSOR_TERM_TYPE,FULL,reference/package/reference/sponsor_term_type.csv,OK,10
Sponsor,SPONSOR_TYPE,FULL,reference/package/reference/sponsor_type.csv,OK,14
Subaward,SUBAWARD,SAMPLE,reference/package/subaward/subaward.csv,OK,"1,000"
Subaward,SUBAWARD_AMOUNT_INFO,SAMPLE,reference/package/subaward/subaward_amount_info.csv,OK,"1,000"
Subaward,SUBAWARD_AMT_RELEASED,FULL,reference/package/subaward/subaward_amt_released.csv,OK,2
Subaward,SUBAWARD_APPROVAL_TYPE,FULL,reference/package/subaward/subaward_approval_type.csv,OK,28
Subaward,SUBAWARD_ATTACHMENTS,SAMPLE,reference/package/subaward/subaward_attachments.csv,OK,"1,000"
Subaward,SUBAWARD_ATTACHMENT_TYPE,FULL,reference/package/subaward/subaward_attachment_type.csv,OK,15
Subaward,SUBAWARD_CONTACT,SAMPLE,reference/package/subaward/subaward_contact.csv,OK,100
Subaward,SUBAWARD_DOCUMENT,SAMPLE,reference/package/subaward/subaward_document.csv,OK,"1,000"
Subaward,SUBAWARD_FFATA_REPORTING,FULL,reference/package/subaward/subaward_ffata_reporting.csv,OK,"5,206"
Subaward,SUBAWARD_FORMS,FULL,reference/package/subaward/subaward_forms.csv,OK,18
Subaward,SUBAWARD_FUNDING_SOURCE,FULL,reference/package/subaward/subaward_funding_source.csv,OK,"7,954"
Subaward,SUBAWARD_MODIFICATION_TYPE,FULL,reference/package/subaward/subaward_modification_type.csv,OK,8
Subaward,SUBAWARD_NOTIFICATION,SAMPLE,reference/package/subaward/subaward_notification.csv,OK,"1,000"
Subaward,SUBAWARD_REPORT_TYPE,FULL,reference/package/subaward/subaward_report_type.csv,OK,3
Subaward,SUBAWARD_STATUS,FULL,reference/package/subaward/subaward_status.csv,OK,10
Subaward,SUBAWARD_TEMPLATE_INFO,SAMPLE,reference/package/subaward/subaward_template_info.csv,OK,"1,000"
Subaward,SUBAWARD_TEMPLATE_TYPE,FULL,reference/package/subaward/subaward_template_type.csv,OK,4
Subaward,SUBCONTRACT_COPYRIGHT_TYPE,FULL,reference/package/subaward/subcontract_copyright_type.csv,OK,2
Subaward,SUBCONTRACT_COST_TYPE,FULL,reference/package/subaward/subcontract_cost_type.csv,OK,3
Unit,KUALI_UNIT_ORG_MAP,FULL,reference/package/reference/kuali_unit_org_map.csv,OK,152
Unit,UNIT,FULL,reference/package/reference/unit.csv,OK,"5,241"
Unit,UNIT_ADMINISTRATOR,FULL,reference/package/reference/unit_administrator.csv,OK,"1,016"
Unit,UNIT_ADMINISTRATOR_TYPE,FULL,reference/package/reference/unit_administrator_type.csv,OK,11
