CUSTOM_ATTRIBUTE_ID,ATTRIBUTE_NAME,ATTRIBUTE_LABEL,GROUP_NAME,DATA_TYPE_CODE,DATA_TYPE_DESC,DATA_LENGTH,DEFAULT_VALUE,LOOKUP_CLASS,LOOKUP_RETURN,DOCUMENT_TYPE_CODE,ATTACHED_MODULE,IS_REQUIRED,ACTIVE_FLAG,AWARD_VALUE_ROWS,AWARD_DISTINCT_VALUES,PROPOSAL_VALUE_ROWS,PROPOSAL_DISTINCT_VALUES,SUBAWARD_VALUE_ROWS,SUBAWARD_DISTINCT_VALUES,NEGOTIATION_VALUE_ROWS,NEGOTIATION_DISTINCT_VALUES,DOC_VALUE_ROWS,DOC_DISTINCT_VALUES
610,sp_all_1,Space Allocation % 1,Space,2,Number,3,,,,INPR,,N,Y,197041,20,114801,40,0,0,0,0,0,0
630,sp_all_2,Space Allocation % 2,Space,2,Number,3,,,,INPR,,N,Y,197041,15,114801,33,0,0,0,0,0,0
650,sp_all_3,Space Allocation % 3,Space,2,Number,3,,,,INPR,,N,Y,197041,1,114801,4,0,0,0,0,0,0
4,postdoc-trainee,Post-Doctoral Trainee Count,Training Grant Supplemental Data,2,Number,3,,,,INPR,,N,N,46965,1,5745,0,0,0,0,0,75197,1
3,predoc_trainee,Pre-Doctoral Trainee Count,Training Grant Supplemental Data,2,Number,3,,,,INPR,,N,N,46965,2,5745,1,0,0,0,0,75197,2
910,addgene_number,Addgene Order Number,General,1,String,,,,,NGT,,N,Y,0,0,0,0,0,0,11842,1290,0,0
900,budget_approval,Budget Approved (Y/N),General,4,Boolean,,,,,NGT,,N,Y,0,0,0,0,0,0,11842,0,0,0
920,ct_reg_num,Clinicaltrials.gov Reg. No.,General,1,String,,,,,NGT,,N,Y,0,0,0,0,0,0,11842,2,0,0
970,ind_ide,IND/IDE,General,1,String,3,,,,NGT,,N,Y,0,0,0,0,0,0,11842,0,0,0
960,irb_number,IRB Number,General,1,String,,,,,NGT,,N,Y,0,0,0,0,0,0,11842,41,0,0
940,msa_end_date,Master Agreement End Date,Important Dates,3,Date,,,,,NGT,,N,Y,0,0,0,0,0,0,11842,3,0,0
930,msa_start_date,Master Agreement Start Date,Important Dates,3,Date,,,,,NGT,,N,Y,0,0,0,0,0,0,11842,3,0,0
950,mta_exp_date,MTA Expiration Date,Important Dates,3,Date,,,,,NGT,,N,Y,0,0,0,0,0,0,11842,2,0,0
1,competitive_segments,Previous Competitive Segment,Project Relationships,1,String,30,,org.kuali.kra.award.home.Award,sponsorAwardNumber,PRDV,,N,Y,241918,14,119254,0,0,0,0,0,75197,12
2,dual_funded,"If this a Dual-Funded Award, select the other Sponsored Award ID.",Project Relationships,1,String,30,,org.kuali.kra.award.home.Award,sponsorAwardNumber,PRDV,,N,Y,241918,4,119254,0,0,0,0,0,75197,2
4,postdoc-trainee,Post-Doctoral Trainee Count,Training Grant Supplemental Data,2,Number,3,,,,PRDV,,N,N,46965,1,5745,0,0,0,0,0,75197,1
3,predoc_trainee,Pre-Doctoral Trainee Count,Training Grant Supplemental Data,2,Number,3,,,,PRDV,,N,N,46965,2,5745,1,0,0,0,0,75197,2
1260,irb_approval_date,Approval Date,Dates,3,Date,,,,,PROT,,N,Y,0,0,0,0,0,0,0,0,34280,4781
