DOMAIN,TABLE_NAME,EXTRACT_TYPE,ROW_COUNT,COLUMN_COUNT,PRIMARY_KEY,LINEAGE_KEYS,CONTAINS_PII,NOTES
Negotiation,NEGOTIATION_LOCATION,FULL,12,8,NEGOTIATION_LOCATION_ID,,N,
Negotiation,NEGOTIATION_NOTIFICATION,EMPTY,0,11,NOTIFICATION_ID,DOCUMENT_NUMBER,N,"no rows in production; columns documented, no data file"
Negotiation,NEGOTIATION_STATUS,FULL,8,8,NEGOTIATION_STATUS_ID,,N,
Negotiation,NEGOTIATION_UNASSOC_DETAIL,FULL,9270,16,NEGOTIATION_UNASSOC_DETAIL_ID,"NEGOTIATION_ID,SPONSOR_CODE",N,
Organization,ORGANIZATION,FULL,7557,41,ORGANIZATION_ID,ORGANIZATION_ID,N,
Organization,ORGANIZATION_AUDIT,EMPTY,0,8,"ORGANIZATION_ID,FISCAL_YEAR",ORGANIZATION_ID,N,"no rows in production; columns documented, no data file"
Organization,ORGANIZATION_AUDIT_ACC_TYPE,FULL,4,7,CODE,,N,
Organization,ORGANIZATION_CORRESPONDENT,EMPTY,0,10,ORGANIZATION_CORRESPONDENT_ID,"ORGANIZATION_ID,PERSON_ID",N,"no rows in production; columns documented, no data file"
Organization,ORGANIZATION_IDC,EMPTY,0,15,"ORGANIZATION_ID,IDC_NUMBER",ORGANIZATION_ID,N,"no rows in production; columns documented, no data file"
Organization,ORGANIZATION_TYPE,FULL,2,6,"ORGANIZATION_ID,ORGANIZATION_TYPE_CODE",ORGANIZATION_ID,N,
Organization,ORGANIZATION_TYPE_LIST,FULL,1,6,ORGANIZATION_TYPE_CODE,,N,
Organization,ORGANIZATION_YNQ,SAMPLE,32568,9,"ORGANIZATION_ID,QUESTION_ID",ORGANIZATION_ID,N,
Proposal / pre-award,BUDGET,SAMPLE,80248,32,BUDGET_ID,"DOCUMENT_NUMBER,BUDGET_ID",N,
Proposal / pre-award,BUDGET_CATEGORY,FULL,50,7,BUDGET_CATEGORY_CODE,,N,
Proposal / pre-award,BUDGET_CATEGORY_MAPPING,FULL,137,7,"MAPPING_NAME,TARGET_CATEGORY_CODE,COEUS_CATEGORY_CODE",,N,
Proposal / pre-award,BUDGET_CATEGORY_MAPS,FULL,77,8,"MAPPING_NAME,TARGET_CATEGORY_CODE",,N,
Proposal / pre-award,BUDGET_CATEGORY_TYPE,FULL,7,7,BUDGET_CATEGORY_TYPE_CODE,,N,
