DOMAIN,TABLE_NAME,COLUMN_ID,COLUMN_NAME,DATA_TYPE,NULLABLE,DATA_DEFAULT,ORACLE_COLUMN_COMMENT,UI_FIELD_NAME,FIELD_DESCRIPTION,JAVA_OBJECT,JAVA_PROPERTY,LOOKUP_TABLE,LOOKUP_COLUMN,FIELD_ORIGIN,MAPPING_PRIORITY,EXTRACT_TYPE,CONTAINS_PII
Award,AWARD_SPONSOR_CONTACTS,9,UPDATE_USER,VARCHAR2(60),N,,,,,org.kuali.kra.award.contacts.AwardSponsorContact,updateUser,,,CORE_KUALI,NOT_FOR_HURON,FULL,Y
Award,AWARD_SPONSOR_CONTACTS,10,VER_NBR,"NUMBER(8,0)",N,,,,,org.kuali.kra.award.contacts.AwardSponsorContact,versionNumber,,,CORE_KUALI,NOT_FOR_HURON,FULL,Y
Award,AWARD_SPONSOR_CONTACTS,11,OBJ_ID,VARCHAR2(36),N,,,,,org.kuali.kra.award.contacts.AwardSponsorContact,objectId,,,CORE_KUALI,NOT_FOR_HURON,FULL,Y
Award,AWARD_SPONSOR_TERM,1,AWARD_SPONSOR_TERM_ID,"NUMBER(8,0)",N,,,Award Sponsor Term Id,Award Sponsor Term Id,org.kuali.kra.award.home.AwardSponsorTerm,awardSponsorTermId,,,CORE_KUALI,HIGH,SAMPLE,N
Award,AWARD_SPONSOR_TERM,2,AWARD_ID,"NUMBER(22,0)",Y,,,,,org.kuali.kra.award.home.AwardSponsorTerm,awardId,,,CORE_KUALI,HIGH,SAMPLE,N
Award,AWARD_SPONSOR_TERM,3,AWARD_NUMBER,VARCHAR2(12),Y,,,,,org.kuali.kra.award.home.AwardSponsorTerm,awardNumber,,,CORE_KUALI,HIGH,SAMPLE,N
Award,AWARD_SPONSOR_TERM,4,SEQUENCE_NUMBER,"NUMBER(8,0)",Y,,,,,org.kuali.kra.award.home.AwardSponsorTerm,sequenceNumber,,,CORE_KUALI,HIGH,SAMPLE,N
Award,AWARD_SPONSOR_TERM,5,SPONSOR_TERM_ID,"NUMBER(12,0)",Y,,,Code,Sponsor Term Id,org.kuali.kra.award.home.AwardSponsorTerm,sponsorTermId,SPONSOR_TERM,SPONSOR_TERM_ID,CORE_KUALI,HIGH,SAMPLE,N
Award,AWARD_SPONSOR_TERM,6,UPDATE_TIMESTAMP,DATE,Y,,,,,org.kuali.kra.award.home.AwardSponsorTerm,updateTimestamp,,,CORE_KUALI,NOT_FOR_HURON,SAMPLE,N
Award,AWARD_SPONSOR_TERM,7,UPDATE_USER,VARCHAR2(60),Y,,,,,org.kuali.kra.award.home.AwardSponsorTerm,updateUser,,,CORE_KUALI,NOT_FOR_HURON,SAMPLE,N
Award,AWARD_SPONSOR_TERM,8,VER_NBR,"NUMBER(8,0)",Y,1,,,,org.kuali.kra.award.home.AwardSponsorTerm,versionNumber,,,CORE_KUALI,NOT_FOR_HURON,SAMPLE,N
Award,AWARD_SPONSOR_TERM,9,OBJ_ID,VARCHAR2(36),N,,,,,org.kuali.kra.award.home.AwardSponsorTerm,objectId,,,CORE_KUALI,NOT_FOR_HURON,SAMPLE,N
Award,AWARD_STATUS,1,VER_NBR,"NUMBER(8,0)",N,1,,,,org.kuali.kra.award.home.AwardStatus,versionNumber,,,LOOKUP_REFERENCE,NOT_FOR_HURON,FULL,N
Award,AWARD_STATUS,2,STATUS_CODE,VARCHAR2(3),N,,,Status Code,Status Code,org.kuali.kra.award.home.AwardStatus,statusCode,,,LOOKUP_REFERENCE,HIGH,FULL,N
Award,AWARD_STATUS,3,DESCRIPTION,VARCHAR2(200),N,,,Description,Description,org.kuali.kra.award.home.AwardStatus,description,,,LOOKUP_REFERENCE,HIGH,FULL,N
